State,Crop,Rainfall,Temperature,Humidity,Soil_Type,Fertilizer_Type,Yield
Uttar Pradesh,Maize,895.86,29.18,54.49,Black,Compost,128.66
Uttar Pradesh,Rice,281.29,24.02,70.2,Mountain,MOP,88.36
Tripura,Pulses,871.66,25.82,47.09,Red,MOP,125.98
Gujarat,Sugarcane,528.75,27.24,56.22,Alluvial,MOP,111.28
Karnataka,Barley,597.68,33.29,44.05,Black,Compost,108.39
Uttar Pradesh,Cotton,698,32.73,45.07,Laterite,Urea,112.6
Meghalaya,Pulses,1054.86,32.02,58.82,Black,MOP,140.25
Tamil Nadu,Maize,405.73,25.03,53.75,Black,Organic,104.44
Meghalaya,Sugarcane,566.9,37.59,67.11,Desert,MOP,100.72
Gujarat,Maize,482.23,22.93,55.47,Desert,DAP,91.24
Haryana,Pulses,366.58,21.17,68.85,Black,DAP,85.02
Uttar Pradesh,Cotton,1005.92,30.67,65.06,Red,MOP,144.42
Delhi,Cotton,636.87,34.36,62.78,Red,Organic,119.06
Nagaland,Maize,1030.54,37.59,48.95,Alluvial,Organic,126.01
Rajasthan,Maize,325.24,26.68,54.88,Red,Organic,97.86
Haryana,Sugarcane,211.92,34.55,85.69,Mountain,Compost,89.37
Arunachal Pradesh,Jowar,254.12,25.2,78.28,Mountain,Organic,87.71
Telangana,Cotton,774.17,37.4,67.48,Black,Organic,117.77
Andhra Pradesh,Maize,882.58,33.55,70.6,Laterite,MOP,127.23
Jharkhand,Rice,961.84,38.48,46.81,Desert,Organic,112.4
Punjab,Maize,816.12,20.36,71.46,Desert,Urea,105.95
Rajasthan,Pulses,383.96,32.93,45.15,Alluvial,Urea,105.19
Gujarat,Cotton,931.84,36.45,57.4,Alluvial,DAP,119.42
Punjab,Pulses,212.94,27.67,89.72,Desert,Compost,97.92
Delhi,Rice,648.56,22.2,70.59,Red,MOP,111.25
Nagaland,Rice,378.25,30.27,77.51,Red,Organic,102.21
Jharkhand,Wheat,438.37,38.9,84.24,Laterite,MOP,89.35
Maharashtra,Rice,723.43,33.7,63.4,Mountain,MOP,121.07
Rajasthan,Pulses,510.7,37.68,63.78,Alluvial,DAP,103.81
Chhattisgarh,Bajra,1156.33,23.51,57.63,Desert,Compost,131.48
West Bengal,Maize,631.03,32.6,40.53,Alluvial,Compost,113.62
Madhya Pradesh,Rice,424.44,26.55,69.95,Red,MOP,103.49
Tamil Nadu,Jowar,1149.2,27.24,44.81,Laterite,Compost,141.77
Nagaland,Cotton,564.98,32.18,62.02,Laterite,MOP,112.91
Rajasthan,Maize,1192.71,22.25,40.75,Black,Compost,126.79
Odisha,Rice,205.25,26.19,54.85,Black,Compost,84.75
Punjab,Cotton,219.3,25.3,41.96,Laterite,DAP,80.87
West Bengal,Sugarcane,215.95,34.16,82.03,Red,Compost,89.65
Karnataka,Bajra,774.72,30.5,55.21,Red,Urea,130.9
Jammu & Kashmir,Cotton,654.85,32.01,47.63,Laterite,DAP,117.84
Goa,Barley,737.83,38.14,46.9,Desert,Organic,106.94
Arunachal Pradesh,Sugarcane,1091.92,31.72,63.01,Black,MOP,145.23
Mizoram,Rice,620.14,32.19,64.41,Alluvial,DAP,114.3
Assam,Bajra,474.23,23.98,54.08,Black,Organic,101.86
Sikkim,Rice,814.65,27.1,45.08,Black,DAP,121.03
Telangana,Sugarcane,383.68,21.29,51.01,Desert,Compost,96.71
Kerala,Wheat,541.2,36.35,47.58,Desert,Compost,107.47
Tamil Nadu,Cotton,834.12,25.01,40.86,Alluvial,Organic,112.66
Goa,Bajra,319.67,26.09,74.26,Black,MOP,102.9
Nagaland,Maize,947.62,33.47,64.94,Laterite,Organic,133.61
Nagaland,Bajra,307.47,26.57,75.68,Alluvial,DAP,105.47
Manipur,Barley,262.32,24.85,80.45,Black,Organic,89.33
Madhya Pradesh,Wheat,950.78,32.69,72.8,Mountain,Compost,136.81
Chhattisgarh,Rice,543.23,35.58,58.09,Desert,DAP,109.33
Madhya Pradesh,Cotton,1180.57,22.99,69.45,Mountain,DAP,134.57
Kerala,Maize,697.93,34.03,62.51,Black,Urea,113.31
Telangana,Sugarcane,404.38,28.64,52.64,Alluvial,Organic,110.26
Assam,Bajra,328.13,37.62,49.63,Laterite,MOP,84.58
Karnataka,Jowar,769.82,24.34,42.7,Laterite,DAP,118.67
Assam,Sugarcane,999.77,27.05,42.36,Desert,Organic,125.23
Punjab,Bajra,262.59,21.83,75.8,Black,DAP,80.73
Sikkim,Cotton,580.2,39.4,65.94,Desert,DAP,104.22
Madhya Pradesh,Cotton,736.92,25.63,48.36,Red,Urea,109.77
Kerala,Cotton,485.04,28.28,77.52,Alluvial,MOP,117.05
Gujarat,Sugarcane,586.83,28.81,51.67,Laterite,MOP,110.84
Tripura,Jowar,1150.4,32.9,42.81,Alluvial,MOP,138.38
Himachal Pradesh,Bajra,846.41,29.86,57.28,Laterite,Organic,130.47
Odisha,Pulses,709.02,25.01,89.6,Laterite,MOP,111.2
Mizoram,Barley,523.92,22.76,71.04,Red,DAP,98.21
Assam,Rice,1135.36,31.61,63.08,Mountain,Organic,141.65
Punjab,Sugarcane,864.56,21.48,60.97,Black,DAP,114.47
Tripura,Barley,296.35,26.04,89.29,Laterite,MOP,92.88
Himachal Pradesh,Pulses,1051.99,22.9,47.81,Desert,Urea,124
Chhattisgarh,Cotton,582.9,23.01,51.38,Desert,DAP,102.93
Jharkhand,Bajra,546.27,21.12,48.58,Red,Organic,94.33
Nagaland,Barley,767.27,38.38,84.43,Red,Organic,114.66
Arunachal Pradesh,Bajra,318.6,23.74,70.48,Red,Compost,98.25
Arunachal Pradesh,Cotton,428.09,37.73,40.11,Black,DAP,99.94
Uttarakhand,Barley,344.6,33.42,66.76,Mountain,DAP,100.31
West Bengal,Bajra,717.38,29.08,68.92,Black,Organic,121.13
Uttar Pradesh,Sugarcane,814.49,24.17,71.88,Alluvial,Compost,113.5
Mizoram,Rice,272.85,39.64,84.82,Desert,Organic,83.89
Mizoram,Maize,270.7,34.47,80.92,Laterite,Organic,96.7
Haryana,Wheat,653.54,37.97,42.98,Alluvial,Compost,103.98
Manipur,Rice,290.86,25.55,77.77,Black,Organic,97.55
Tamil Nadu,Barley,831.98,36.28,54.53,Mountain,Urea,116.95
Uttarakhand,Barley,1171.62,39.13,46.98,Black,MOP,130.75
Nagaland,Rice,724.26,35.28,53.12,Laterite,MOP,108.31
Haryana,Sugarcane,869.74,25.97,88.37,Red,DAP,119.29
Arunachal Pradesh,Bajra,607.27,33.95,53.04,Desert,DAP,110.84
Chhattisgarh,Wheat,1023.61,28.6,63.26,Laterite,Urea,129.73
Nagaland,Bajra,686.53,36.47,71.99,Alluvial,Urea,108.69
Jharkhand,Barley,438.34,20.61,50.8,Laterite,Urea,84.84
Meghalaya,Maize,843.35,20.34,51.76,Laterite,Organic,109.58
Karnataka,Bajra,697.51,31.81,47.39,Laterite,Urea,121.22
Meghalaya,Maize,555.67,31.02,49.93,Mountain,DAP,111.08
Uttar Pradesh,Bajra,466.35,27.09,53.53,Alluvial,MOP,102.91
Sikkim,Pulses,1073.21,39.58,58.78,Laterite,Compost,128.12
Mizoram,Rice,710.54,29.87,64.63,Mountain,DAP,117
Goa,Bajra,948.82,33.14,59.78,Mountain,Compost,127.35
Jharkhand,Sugarcane,715.08,20.88,65.67,Black,DAP,103.24
Andhra Pradesh,Pulses,429.46,27.77,84.93,Laterite,Compost,102.49
Uttar Pradesh,Sugarcane,943.88,27.72,78.81,Red,DAP,131.46
Madhya Pradesh,Cotton,1092.17,28.55,45.56,Black,DAP,145.48
Meghalaya,Jowar,578.07,29.88,76.21,Black,DAP,116.37
Nagaland,Wheat,692.25,24.65,71.19,Laterite,Compost,111.86
Madhya Pradesh,Wheat,1182.43,34.54,56.16,Alluvial,Organic,145.52
Tripura,Sugarcane,620.14,39.91,80.44,Mountain,Compost,99.7
Goa,Maize,367.42,28.04,60,Desert,Organic,103.87
Madhya Pradesh,Bajra,660.42,23.08,48.66,Laterite,Organic,109.44
Kerala,Sugarcane,757.01,34.84,56.54,Red,Urea,110.47
Maharashtra,Bajra,980.93,23.1,61.31,Mountain,Compost,129.16
Tamil Nadu,Rice,941.14,26.85,42.97,Mountain,Organic,122.05
Telangana,Pulses,658.3,27.22,56.95,Black,DAP,117.02
Uttar Pradesh,Barley,420.28,38.13,77.75,Black,DAP,96.74
Goa,Wheat,336.45,20.45,60.27,Black,Urea,88.03
Himachal Pradesh,Maize,720.43,36.19,44.02,Alluvial,Organic,112.02
Arunachal Pradesh,Rice,361.21,29.54,84.97,Red,DAP,100.65
Manipur,Pulses,230.34,21.93,84.23,Alluvial,Organic,86.23
Telangana,Barley,658.99,28.48,66.87,Mountain,MOP,121.32
Delhi,Pulses,484.27,38.89,88.31,Laterite,MOP,104.94
Andhra Pradesh,Wheat,297.33,29.91,46.9,Alluvial,Urea,98.69
Kerala,Bajra,905.03,26.61,70.96,Laterite,Compost,122.18
Assam,Jowar,705.24,29.03,66.04,Desert,Urea,127.35
Himachal Pradesh,Pulses,940.6,24.12,82.94,Desert,DAP,132.7
Karnataka,Sugarcane,382.62,33.48,46.73,Black,Urea,97.93
Telangana,Wheat,207.85,28.45,59.72,Desert,DAP,91.29
Tripura,Bajra,1052.45,39.57,88.86,Mountain,DAP,122.25
Karnataka,Wheat,1199.78,39.14,54.08,Desert,MOP,125.53
Andhra Pradesh,Pulses,886.09,25.84,63.53,Desert,Compost,129.54
Goa,Barley,1091.44,26.1,44.35,Mountain,MOP,128.87
Delhi,Sugarcane,468.74,39.4,60.95,Black,Organic,89.17
Meghalaya,Rice,886.03,20.03,77.12,Alluvial,MOP,114.67
Jammu & Kashmir,Maize,477.25,30.91,84.62,Laterite,Compost,111.78
Punjab,Maize,1027.91,24.02,43.94,Desert,Organic,132.74
Arunachal Pradesh,Maize,385.25,22.35,50.59,Desert,Compost,94.42
Jammu & Kashmir,Sugarcane,1149.1,34.1,42.04,Black,Urea,133.95
Gujarat,Rice,819.8,28.91,85.52,Black,Organic,136.17
Jammu & Kashmir,Cotton,475.17,39.97,61.23,Alluvial,MOP,90.21
Punjab,Wheat,969.21,26.9,82.18,Black,Urea,128.99
Gujarat,Maize,1179.05,25.91,65.43,Alluvial,Urea,144.12
Andhra Pradesh,Barley,1055.34,21.97,67.78,Black,DAP,131.29
Karnataka,Maize,990.74,24.31,46.94,Red,MOP,121.24
Manipur,Maize,655.49,27.92,68.03,Red,DAP,111.65
Karnataka,Jowar,1101.75,27.69,52.44,Laterite,DAP,142.24
Maharashtra,Barley,931.4,36.73,57.36,Black,MOP,124.49
Jammu & Kashmir,Sugarcane,603.04,39.82,69.63,Desert,Organic,104.69
Mizoram,Maize,992.61,28.6,54.26,Black,Organic,127.6
Uttarakhand,Maize,1022.05,26.95,47.97,Laterite,DAP,137.01
Goa,Cotton,1196.55,34.87,49.05,Black,Organic,139.5
Tripura,Wheat,780.17,29.45,61.74,Mountain,DAP,121.46
Meghalaya,Cotton,467.35,35.77,50.77,Mountain,MOP,105.86
Himachal Pradesh,Maize,478.34,23.72,47.21,Alluvial,MOP,93.21
Bihar,Barley,786.89,29.45,87.64,Red,Compost,129.5
Gujarat,Cotton,1086.81,36.4,63.84,Mountain,Compost,125.07
Himachal Pradesh,Pulses,351.77,30.02,89.1,Mountain,DAP,109.08
Jharkhand,Cotton,548.36,37.85,71.89,Desert,Organic,94.09
Himachal Pradesh,Rice,1058.64,33.5,49.28,Desert,DAP,135.51
Manipur,Pulses,350.99,36,54.4,Alluvial,Urea,93.15
Bihar,Sugarcane,924.4,34.86,44.14,Alluvial,Urea,116.49
Karnataka,Barley,693.67,27.05,76.24,Laterite,Compost,120.92
Uttarakhand,Barley,957.79,31.57,53.98,Alluvial,DAP,127.11
Tripura,Cotton,455.98,36.12,64.11,Black,Compost,102.47
Haryana,Barley,544.6,25.66,86.82,Alluvial,Urea,104.96
Andhra Pradesh,Jowar,926.54,21.82,57.13,Laterite,MOP,123.63
Punjab,Jowar,679.04,36.16,85.03,Black,DAP,113.37
Gujarat,Maize,301.96,34.6,82.8,Black,DAP,104
Jammu & Kashmir,Barley,687.63,37.93,62.44,Laterite,Compost,103.98
Jharkhand,Sugarcane,1173.83,39.49,88.14,Mountain,MOP,132.99
Uttarakhand,Jowar,1184.68,30.64,55.56,Red,MOP,139.61
Telangana,Rice,1006.44,35.65,50.95,Alluvial,Urea,125.4
Arunachal Pradesh,Rice,687.22,24.38,88,Desert,Compost,117.04
West Bengal,Barley,756.59,26,72.11,Black,Organic,123.31
Andhra Pradesh,Bajra,595.82,35.06,77.94,Mountain,Organic,104.49
West Bengal,Wheat,1085.82,33.31,72.57,Red,MOP,135.76
Karnataka,Pulses,552.64,35.91,54.37,Desert,DAP,102.88
Arunachal Pradesh,Bajra,400.24,34.33,85.91,Mountain,Urea,107.17
Andhra Pradesh,Pulses,957.82,22.92,46.68,Mountain,Urea,116.09
Sikkim,Sugarcane,443.5,23.63,46.12,Black,MOP,97.73
Meghalaya,Rice,398.73,20.47,55.77,Black,Organic,85.95
Jharkhand,Cotton,497.69,22.63,80.13,Desert,MOP,98.31
Himachal Pradesh,Cotton,978.12,27.37,45.84,Black,Urea,137.14
Meghalaya,Bajra,749.69,34.39,76.09,Laterite,Compost,116.53
Bihar,Cotton,887,31.7,64.78,Alluvial,Compost,131.6
Karnataka,Maize,719.22,36.1,53.41,Laterite,DAP,104.44
Odisha,Barley,537.31,38.89,54.62,Laterite,Organic,103.48
Punjab,Jowar,969.63,34.2,56.96,Mountain,MOP,123.76
Bihar,Jowar,857.82,20,45.32,Laterite,Organic,106.74
Tamil Nadu,Rice,1156.35,24.28,43.13,Laterite,Urea,129.98
Sikkim,Pulses,839.91,22.81,65.85,Black,MOP,114.22
Rajasthan,Pulses,349.09,31.86,57.96,Desert,Compost,106.52
Tamil Nadu,Jowar,283.99,23.97,70.42,Red,DAP,87.18
Kerala,Pulses,715.8,23.23,86.31,Mountain,MOP,120.66
Mizoram,Barley,847.16,30.7,51.67,Desert,Compost,121.65
Delhi,Wheat,482.06,33.59,73.03,Desert,Compost,113.52
Manipur,Jowar,406.99,28.88,86.16,Mountain,Organic,109.83
Uttar Pradesh,Barley,1089.99,26.98,80.09,Black,Urea,141.89
Bihar,Rice,723.11,32.98,82.44,Desert,DAP,122.27
Tamil Nadu,Bajra,809.57,36.53,72.32,Red,Urea,115.98
Telangana,Bajra,985.09,24.55,45.33,Laterite,DAP,126.62
Andhra Pradesh,Wheat,1186.93,38.11,48.13,Red,MOP,136.66
Gujarat,Pulses,435.39,33.45,79.45,Alluvial,MOP,111.78
Tamil Nadu,Cotton,361.71,24.68,79.77,Mountain,Urea,95.41
Haryana,Bajra,457.75,24.24,86.87,Black,Urea,105.8
Delhi,Sugarcane,1178.26,23.48,43.88,Mountain,Compost,128.47
West Bengal,Cotton,313.51,33.89,65.9,Black,Compost,98.55
Sikkim,Bajra,1093.68,26.51,80.72,Alluvial,Urea,139.56
Telangana,Rice,676.07,33.69,56.17,Laterite,MOP,117.24
Andhra Pradesh,Barley,871.18,25.86,72.49,Alluvial,MOP,127.91
Uttar Pradesh,Rice,1004.45,33.12,56.32,Alluvial,Compost,139.45
Maharashtra,Jowar,798.7,29.13,77.6,Laterite,Organic,127.48
Madhya Pradesh,Sugarcane,1055.99,38.61,70.31,Red,Urea,124.87
West Bengal,Rice,444.59,33.38,57.96,Alluvial,Organic,108.05
